logged_at,period,keyword,D,S,C,opportunity,score,d_ratio,news_4w,graded_at,hit4
2026-07-06,2026-06-22,PDRN,False,False,False,False,,0.765,11,,
2026-07-06,2026-06-22,PHA,False,False,False,False,,0.822,0,,
2026-07-06,2026-06-22,각질 제거,False,False,False,False,,0.766,0,,
2026-07-06,2026-06-22,갈락토미세스,False,False,False,False,,0.749,0,,
2026-07-06,2026-06-22,글루타치온,False,False,False,False,,0.846,0,,
2026-07-06,2026-06-22,나이아신아마이드,True,False,False,False,,1.371,0,,
2026-07-06,2026-06-22,다크서클,False,False,False,False,,0.818,1,,
2026-07-06,2026-06-22,두피 각질,False,False,False,False,,0.703,0,,
2026-07-06,2026-06-22,두피 앰플,False,False,True,False,,0.955,8,,
2026-07-06,2026-06-22,레티날,False,False,False,False,,1.231,0,,
2026-07-06,2026-06-22,레티놀,False,False,False,False,,0.971,0,,
2026-07-06,2026-06-22,립 오일,False,False,False,False,,0.754,4,,
2026-07-06,2026-06-22,립 틴트,False,False,False,False,,0.985,5,,
2026-07-06,2026-06-22,마이크로바이옴 화장품,False,False,False,False,,0.512,0,,
2026-07-06,2026-06-22,먹는 콜라겐,False,False,False,False,,0.845,1,,
2026-07-06,2026-06-22,모공 축소,False,False,False,False,,0.996,0,,
2026-07-06,2026-06-22,모델링 팩,False,False,False,False,,1.119,0,,
2026-07-06,2026-06-22,물광 피부,False,False,False,False,,0.71,1,,
2026-07-06,2026-06-22,미백,False,False,False,False,,0.951,5,,
2026-07-06,2026-06-22,미스트,False,False,False,False,,0.844,14,,
2026-07-06,2026-06-22,비타민C 세럼,False,False,False,False,,1.186,0,,
2026-07-06,2026-06-22,살리실산,False,False,False,False,,1.144,0,,
2026-07-06,2026-06-22,선세럼,False,True,False,False,,0.903,3,,
2026-07-06,2026-06-22,선쿠션,False,True,False,False,,0.917,0,,
2026-07-06,2026-06-22,세라마이드,False,False,False,False,,0.73,4,,
2026-07-06,2026-06-22,세럼 파운데이션,False,False,False,False,,0.251,0,,
2026-07-06,2026-06-22,속건조,False,False,False,False,,0.63,2,,
2026-07-06,2026-06-22,스틱 선크림,False,True,False,False,,0.888,0,,
2026-07-06,2026-06-22,슬리핑 마스크,False,False,False,False,,0.71,0,,
2026-07-06,2026-06-22,시카,False,False,False,False,,0.898,0,,
2026-07-06,2026-06-22,쑥 토너,False,False,False,False,,0.736,0,,
2026-07-06,2026-06-22,아스타잔틴,False,False,False,False,,1.209,0,,
2026-07-06,2026-06-22,아젤라익애씨드,False,False,False,False,,0.909,0,,
2026-07-06,2026-06-22,앰플,False,False,False,False,,0.823,3,,
2026-07-06,2026-06-22,어성초,False,False,False,False,,1.093,6,,
2026-07-06,2026-06-22,엑소좀,False,False,False,False,,0.843,2,,
2026-07-06,2026-06-22,엑토인,False,False,False,False,,1.022,0,,
2026-07-06,2026-06-22,여성 탈모,False,False,True,False,,0.94,7,,
2026-07-06,2026-06-22,잡티,False,False,False,False,,0.84,0,,
2026-07-06,2026-06-22,저속노화,False,False,False,False,,0.774,0,,
2026-07-06,2026-06-22,주름 개선,False,False,True,False,,0.579,5,,
2026-07-06,2026-06-22,콜라겐,False,False,False,False,,0.833,21,,
2026-07-06,2026-06-22,쿠션 파운데이션,False,False,False,False,,0.636,0,,
2026-07-06,2026-06-22,클렌징 밤,False,False,False,False,,0.999,0,,
2026-07-06,2026-06-22,클렌징 오일,False,False,False,False,,1.002,0,,
2026-07-06,2026-06-22,토너 패드,False,False,False,False,,0.956,2,,
2026-07-06,2026-06-22,톤업 선크림,False,True,False,False,,0.859,0,,
2026-07-06,2026-06-22,트라넥삼산,False,False,False,False,,1.056,0,,
2026-07-06,2026-06-22,트러블 진정,False,False,True,False,,0.589,4,,
2026-07-06,2026-06-22,티트리,False,False,False,False,,0.997,0,,
2026-07-06,2026-06-22,판테놀,False,False,False,False,,0.868,0,,
2026-07-06,2026-06-22,펩타이드,False,False,False,False,,0.979,5,,
2026-07-06,2026-06-22,프로폴리스,False,False,False,False,,0.783,0,,
2026-07-06,2026-06-22,피부 장벽,False,False,False,False,,0.82,3,,
2026-07-06,2026-06-22,피부 탄력,False,False,False,False,,0.839,5,,
2026-07-06,2026-06-22,피지 조절,False,False,False,False,,1.343,0,,
2026-07-06,2026-06-22,필링 패드,False,False,False,False,,0.98,0,,
2026-07-06,2026-06-22,헤어 에센스,False,False,False,False,,0.958,2,,
2026-07-06,2026-06-22,홍조,False,False,False,False,,0.72,0,,
2026-07-06,2026-06-22,히알루론산,False,False,False,False,,1.086,8,,
